SEASON,TIER,video_id,BOSS,TEAM,DAMAGE,CREATOR,VALIDATE_LINK
102,M2,sAST52AVT7Y,Avatar,Laviscus,"1,300,000",Painhawk,
102,M2,UIGUORK0jTE,Avatar,Neuro,"1,100,000",Painhawk,
102,M1,2HInUQkR18U,Dorn,AdMech,"1,200,000",UNDV jonowen,
102,M1,rtEqdG50ss8,Dorn,Laviscus,"1,100,000",Kitty Bebop,
102,L5,OYbjpaaxYHI,Cawl,Lav w Dante,"1,100,000",Painhawk,
102,L5,W-pznfDfNSI,Cawl,Neuro,"930,000",Devastator490-HSS,
102,L4,iI-LdaFFkjM,Ghaz,Lav w Dante,"1,400,000",Painhawk,
102,L4,M2HfiWBEcFQ,Ghaz,Battlesuits,"1,060,000",Machieptube,
102,L3,qNcWGRZkzCY,Screamer,Lav w PBC,"1,540,000",Painhawk,
102,L3,84FOwvOZQgE,Screamer,TrajMECH,"1,360,000",Painhawk,
102,L2,5frA--xoZO0,Riptide,TrajMECH,"1,060,000",Lyell,
102,L2,CI2qj5-DFjg,Riptide,Lav w Dante,"963,000",UltraBrother40k,
102,L1,Gou7JAUWJHY,Dorn,AdMech,"870,000",Devastator490-HSS,
102,L1,z2ONkn-zO6s,Dorn,Laviscus,"861,000",UltraBrother40k,
103,M2,-XMhSnr6ehE,Szarekh,Laviscus,"2,550,000",Painhawk,
103,M2,mLAQMg-nEg8,Szarekh,AdMech,"1,300,000",Palaryel,
103,M1,yl8OVWAapUc,Magnus,Custodes,"940,000",Nandi,
103,M1,tBA8P89S6Dg,Magnus,Forcasmo,"987,000",Painhawk,
103,L1,H6b3ofcOSTI,Screamer,Laviscus,"1,640,000",ge0desic,
103,L1,_AQbP3kfQxw,Screamer,TrajMECH,"1,520,000",Machieptube,
103,L2,DPCEmu_VMbs,Dorn,AdMech,"1,260,000",Loknar,
103,L2,rtEqdG50ss8,Dorn,Laviscus,"1,100,000",Kitty Bebop,
103,L3,D9RTevw5SEI,Riptide,TrajMECH,"1,010,000",Machieptube,
103,L3,CI2qj5-DFjg,Riptide,Laviscus,"869,000",UltraBrother40k,
103,L4,Zz5kvJevkNM,Lion,Neuro,"1,000,000",Nandi,
103,L4,vSD_4HZtQUQ,Lion,Battlesuits,"1,252,841",TacticalRaven,
103,L5,amLBjOxMw9M,Mortarion,Laviscus,"1,200,000",Don't Call Me Shirley,
103,L5,RmTncdplo8Y,Mortarion,Neuro,"792,000",Painhawk,
104,M2,dIiPcOWrTWk,Ghaz,Laviscus,"1,950,000",Painhawk,
104,M2,SYyD93-Adts,Ghaz,Battlesuits,"1,120,000",Jurassic Kyle,
104,M1,sL2nKJ7ZDhw,Cawl,Laviscus,"1,170,000",Hedonite,
104,M1,B5I_AYTHRmQ,Cawl,Custodes,"1,090,000",MidnightHozz,
104,L5,xsTygubUf3k,Avatar,Laviscus,"2,000,000",Painhawk,
104,L5,4-vvT7quQIo,Avatar,Neuro,"1,400,000",Kolxer,
104,L4,V_WB7KMyAjQ,Ghaz,Laviscus,"2,000,000",Painhawk,
104,L4,UxfItyRwho4,Ghaz,Battlesuits,"1,900,000",Nandi,
104,L3,DPCEmu_VMbs,Dorn,AdMech,"1,260,000",Loknar,
104,L3,rtEqdG50ss8,Dorn,Laviscus,"1,100,000",Kitty Bebop,
104,L2,jCF0izRvXC0,Screamer,TrajMech,"1,700,000",Painhawk,
104,L2,JedfR5QadFc,Screamer,Laviscus,"2,500,000",Kitty Bebop,
104,L1,78_c9nfzsWU,Riptide,TrajMech,"1,260,000",Painhawk,
104,L1,GFCH8DAwOns,Riptide,Laviscus,"932,000",UltraBrother40k,
105,M2,6AgE4JZw5aU,Magnus,"Kari, Traj, Kharn, Helb, Dante, Biovore","812,000",Painhawk,https://www.youtube.com/watch?v=6AgE4JZw5aU
105,M2,fjBrAtXrOZI,Magnus,"Kari, Traj, Kharn, Rag, Helb, Biovore","785,000",GarviLoken,https://www.youtube.com/watch?v=fjBrAtXrOZI
105,M1,0gQyyUSz0hA,Mortarion,"Lav, Kari, Traj, Boss, Atla, Biovore","1,900,000",Blackmane Gaming,https://www.youtube.com/watch?v=0gQyyUSz0hA
105,M1,0m5N-GCmpKE,Mortarion,"Neuro, Abrax, Ahri, Yaz, Rosie, Zkar","950,000",Un4given,https://www.youtube.com/watch?v=0m5N-GCmpKE
105,L5,GqGL_7orsNs,Lion,"Lav, Kari, Traj, Aesoth, Vit, Biovore","1,560,000",Mawg,https://www.youtube.com/watch?v=GqGL_7orsNs
105,L5,2YA89zo_u1Q,Lion,"Lav, Kari, Traj, Boss, Aesoth, Biovore","1,400,000",Adeptus Gorditas,https://www.youtube.com/watch?v=2YA89zo_u1Q
105,L4,CNEOWyf4kpA,Cawl,"Lav, Kari, Traj, Kharn, Dante, Biovore","1,310,000",Ulf,https://www.youtube.com/watch?v=CNEOWyf4kpA
105,L4,OtGeKDHCdy0,Cawl,"Neuro, Abrax, Ahri, Abaddon, Archi, Zkar","960,000",Stringer de Los Redimidos,https://www.youtube.com/watch?v=OtGeKDHCdy0
105,L3,XLcECO6lJA0,Avatar,"Lav, Kari, Traj, Boss, Vit, Biovore","2,100,000",Prufrock,https://www.youtube.com/watch?v=XLcECO6lJA0
105,L3,LoL5L2SSLgA,Avatar,"Rho, Tan, Actus, Vit, Boss, Galatian","1,390,000",Yagyuu,https://www.youtube.com/watch?v=LoL5L2SSLgA
105,L2,UqouUwUZC_M,Dorn,"Rho, Tan, Actus, Vit, Traj, Reanimator","1,580,000",Yagyuu,https://www.youtube.com/watch?v=UqouUwUZC_M
105,L2,0OZSP8-gn7U,Dorn,"Lav, Kari, Traj, Boss, Vit, Biovore","1,300,000",Don’t Call Me Shirley Tacticus Replays,https://www.youtube.com/watch?v=0OZSP8-gn7U
105,L1,kX3ncIq8hIs,Screamer,"Rho, Tan, Actus, Vit, Traj, Galatian","1,980,000",Machiep,https://www.youtube.com/watch?v=kX3ncIq8hIs
105,L1,Y74uUgSfZrw,Screamer,"Lav, Kari, Traj, Boss, Vit, PBC","1,800,000",Painhawk,https://www.youtube.com/watch?v=Y74uUgSfZrw
106,M2,mdGcowa65mQ,Mortarion,"Lav, Kari, Traj, Boss, Atla, Biovore","1,710,000",HozzMidnight,https://www.youtube.com/watch?v=mdGcowa65mQ
106,M2,Z2xM4hJ4udc,Mortarion,"Lav, Kari, Traj, Boss, Helb, Biovore","950,000",Ulf,https://www.youtube.com/watch?v=Z2xM4hJ4udc
